Transaction ID,Customer ID,Product ID,Quantity Sold,Unit Price,Total Price,Timestamp
1,11,13,5,11.03,55.15,2023-03-24 22:23:56
2,2,5,3,23.15,69.45,2023-10-28 12:37:23
3,4,24,3,66.05,198.15,2023-04-28 13:01:52
4,14,9,5,26.87,134.35,2023-06-05 05:55:17
5,25,6,1,17.94,17.94,2023-05-29 21:37:52
6,18,12,4,56.0,224.0,2023-01-30 04:28:16
7,8,8,3,85.61,256.83,2023-11-25 14:12:42
8,30,16,1,37.4,37.4,2023-07-17 13:10:29
9,34,29,3,65.79,197.37,2023-07-18 06:08:41
10,49,9,4,70.39,281.56,2023-07-26 11:24:17
11,3,23,3,70.42,211.26,2023-10-15 17:55:18
12,3,11,5,76.25,381.25,2023-06-24 19:40:25
13,48,5,1,44.36,44.36,2023-02-12 03:21:12
14,39,30,2,26.49,52.98,2023-01-08 16:45:55
15,35,12,2,18.28,36.56,2023-10-20 20:54:05
16,35,5,4,35.93,143.72,2023-06-20 23:23:50
17,17,16,3,88.36,265.08,2023-01-06 19:21:23
18,11,8,1,66.57,66.57,2023-08-23 20:52:05
19,34,11,1,36.21,36.21,2023-05-05 18:16:41
20,28,4,3,19.33,57.99,2023-02-18 18:45:26
21,18,2,5,67.13,335.65,2023-07-11 04:45:16
22,35,24,5,97.21,486.05,2023-11-13 16:05:13
23,1,7,5,60.83,304.15,2023-04-08 07:54:32
24,9,17,4,71.0,284.0,2023-05-14 01:59:20
25,45,2,1,81.21,81.21,2023-05-21 08:36:21
26,1,6,5,34.66,173.3,2023-09-19 07:46:29
27,46,10,3,10.57,31.71,2023-03-22 15:00:42
28,29,18,4,35.29,141.16,2023-10-25 01:03:51
29,12,22,3,30.38,91.14,2023-03-25 23:27:20
30,5,18,2,69.19,138.38,2023-04-12 21:22:38
31,29,2,4,71.43,285.72,2023-01-23 14:53:20
32,25,24,1,29.02,29.02,2023-06-18 12:49:45
33,25,29,4,23.84,95.36,2023-03-26 03:00:38
34,2,12,2,17.48,34.96,2023-10-05 11:38:39
35,17,9,5,44.32,221.6,2023-06-10 20:09:35
36,50,28,1,31.85,31.85,2023-11-11 19:31:41
37,47,8,4,10.58,42.32,2023-04-20 02:29:41
38,28,17,5,93.96,469.8,2023-10-29 09:52:25
39,31,4,2,82.78,165.56,2023-02-02 05:01:29
40,23,29,5,51.84,259.2,2023-04-22 11:42:35
41,15,24,2,37.96,75.92,2023-04-18 16:06:57
42,13,14,2,31.0,62.0,2023-06-30 22:22:03
43,14,28,2,76.0,152.0,2023-06-25 01:08:41
44,49,30,1,87.25,87.25,2023-03-30 06:06:44
45,21,9,4,81.03,324.12,2023-10-31 11:50:10
46,47,27,2,63.87,127.74,2023-08-27 21:43:37
47,2,26,2,75.89,151.78,2023-01-01 19:55:56
48,11,21,3,89.03,267.09,2023-02-01 19:27:03
49,22,21,2,31.19,62.38,2023-10-29 07:10:37
50,1,14,5,32.75,163.75,2023-06-13 11:16:32
51,41,29,4,66.08,264.32,2023-09-06 08:34:15
52,37,10,2,16.87,33.74,2023-07-05 09:24:55
53,35,25,1,98.79,98.79,2023-01-27 05:46:16
54,14,23,1,22.86,22.86,2023-09-26 19:59:11
55,13,25,5,96.96,484.8,2023-03-23 07:48:18
56,19,20,4,54.61,218.44,2023-04-07 09:04:42
57,25,15,4,58.68,234.72,2023-11-09 07:18:55
58,3,27,1,68.79,68.79,2023-02-16 02:40:53
59,14,7,4,28.11,112.44,2023-04-05 12:54:32
60,21,28,4,40.72,162.88,2023-05-20 20:12:48
61,2,25,1,46.06,46.06,2023-08-09 11:37:34
62,29,2,2,68.32,136.64,2023-05-24 20:53:14
63,50,12,2,18.5,37.0,2023-08-12 13:18:13
64,10,5,3,58.31,174.93,2023-10-23 21:55:43
65,17,4,2,80.19,160.38,2023-07-24 09:37:01
66,38,30,2,35.9,71.8,2023-06-20 08:52:14
67,20,1,5,44.47,222.35,2023-08-27 16:08:37
68,44,30,3,29.73,89.19,2023-05-10 10:43:14
69,9,6,2,97.46,194.92,2023-01-12 10:17:05
70,49,13,2,67.55,135.1,2023-12-04 12:54:22
71,5,3,5,56.5,282.5,2023-08-04 19:34:53
72,8,22,3,60.67,182.01,2023-05-04 13:59:14
73,14,27,2,13.31,26.62,2023-03-06 14:51:21
74,31,24,1,13.7,13.7,2023-10-08 04:45:32
75,9,14,1,16.03,16.03,2023-11-13 18:50:45
76,15,29,3,99.98,299.94,2023-09-04 15:11:47
77,38,9,3,37.85,113.55,2023-10-23 11:02:31
