Transaction_ID,Customer_ID,Product_ID,Quantity_Sold,Unit_Price,Total_Price,Timestamp
101,11,13,5,11.03,55.15,2023-03-24 22:23:56
102,2,5,3,23.15,69.45,2023-10-28 12:37:23
103,4,24,3,66.05,198.15,2023-04-28 13:01:52
104,10,36,7,98.97,692.79,2023-06-21 06:21:05
105,18,41,7,35.91,251.37,2023-11-26 23:26:10
106,19,29,3,70.35,211.05,2023-08-22 02:22:26
107,12,4,4,45.42,181.68,2023-07-03 06:05:26
108,9,45,10,87.96,879.6,2023-09-22 20:34:24
109,3,42,4,51.95,207.8,2023-09-05 03:43:50
110,29,35,7,8.14,56.98,2023-10-26 08:49:42
111,23,23,9,14.15,127.35,2023-07-01 11:35:10
112,19,48,10,88.95,889.5,2023-08-03 16:37:58
113,29,8,7,48.44,339.08,2023-06-20 16:34:47
114,9,4,9,81.62,734.58,2023-09-04 16:38:05
115,13,32,10,92.71,927.1,2023-10-17 21:34:40
116,15,34,5,65.44,327.2,2023-08-06 11:31:02
117,16,25,7,22.52,157.64,2023-02-26 14:33:19
118,19,12,9,41.03,369.27,2023-09-07 02:12:37
119,12,42,4,11.31,45.24,2023-12-30 23:57:19
120,22,1,4,75.53,302.12,2023-09-08 08:13:10
121,13,22,4,85.82,343.28,2023-12-01 04:40:13
122,11,7,5,39.4,197.0,2023-07-24 10:26:34
123,3,7,10,30.0,300.0,2023-03-23 05:45:20
124,26,10,4,70.83,283.32,2023-08-22 08:03:54
125,29,47,6,84.21,505.26,2023-11-27 23:19:32
126,14,5,8,83.28,666.24,2023-07-10 20:12:01
127,28,11,3,98.61,295.83,2023-08-27 04:44:21
128,15,32,4,19.06,76.24,2023-07-02 12:36:22
129,20,48,2,77.43,154.86,2023-12-14 09:32:22
130,14,48,1,33.44,33.44,2023-10-04 12:12:17
131,24,26,8,28.45,227.6,2023-08-05 23:33:10
132,2,40,4,94.91,379.64,2023-07-14 10:46:00
133,4,49,10,43.79,437.9,2023-06-03 11:44:29
134,29,16,5,34.36,171.8,2023-01-06 04:43:08
135,1,30,5,14.56,72.8,2023-11-21 09:51:39
136,11,30,7,90.44,633.08,2023-08-09 19:11:38
137,12,13,8,75.39,603.12,2023-08-14 10:44:38
138,24,36,8,70.39,563.12,2023-08-09 20:31:00
139,23,45,3,62.2,186.6,2023-12-21 05:07:16
140,21,27,5,24.08,120.4,2023-01-15 20:15:05
141,15,40,5,85.22,426.1,2023-09-14 08:44:52
142,28,15,7,50.26,351.82,2023-03-03 10:19:13
143,14,26,4,62.06,248.24,2023-11-19 07:33:35
144,29,1,4,24.54,98.16,2023-10-12 06:48:13
145,2,25,3,36.8,110.4,2023-03-15 16:57:03
146,21,40,4,85.0,340.0,2023-05-19 14:57:04
147,27,16,2,70.54,141.08,2023-09-22 01:24:45
148,29,3,4,91.05,364.2,2023-12-21 09:09:10
149,16,40,2,23.19,46.38,2023-07-15 18:58:45
150,30,3,3,26.0,78.0,2023-04-11 06:09:19
151,5,49,9,24.54,220.86,2023-10-02 02:59:39
152,16,32,5,65.22,326.1,2023-02-16 17:05:23
153,17,34,1,47.27,47.27,2023-08-18 07:14:57
154,19,21,1,10.45,10.45,2023-11-21 06:08:58
155,6,5,6,16.41,98.46,2023-03-24 09:39:25
